Title,Family,Synonyms,Common Names,Origin,Growth Habit,Earliest Record,Tool Used For Assessment,Predictive Tool Score,North,Central,South,Assessment Dates,Counties,Questionnaires
Ageratum houstonianum,Asteraceae,,"Bluemink, Flossflower, Mexican ageratum","North America-Mexico, South America",Forb/Herb,1946,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 17, 2015",10,
Aglaonema commutatum var maculatum,Araceae,,"Aglaonema, Chinese evergreen, Philippine evergreen",Asia Tropical,Forb/Herb,0,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 17, 2015",0,
Agrostemma githago,Caryophyllaceae,,Common corncockle,"Africa, Asia Temperate, Europe",Forb/Herb,1919,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 17, 2015",3,
Ailanthus altissima,Simaroubaceae,,Tree-of-heaven,Asia Temperate,Tree,1980,Predictive Tool,35,High Invasion Risk,High Invasion Risk,High Invasion Risk,6-May-14,5,
Aira caryophyllea,Poaceae,,Silver hairgrass,"Africa, Asia Temperate, Europe","Graminoid, Tree",1983,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 17, 2015",2,
Ajuga reptans,Lamiaceae,,"Bugleweed, Common bugle","Africa, Asia Temperate, Europe",Forb/Herb,2003,Predictive Tool,10,High Invasion Risk,High Invasion Risk,High Invasion Risk,20-Mar-17,1,
Albizia julibrissin,Fabaceae,,"Mimosa, silk tree","Asia Temperate, Asia Tropical","Shrub, Tree",1936,Status Assessment,N/A,Invasive (No Uses),Invasive (No Uses),Invasive (No Uses),"Jan 1, 2004May 6, 2014",35,
Albizia lebbeck,Fabaceae,,"Rattlepod, Woman's tongue","Africa, North America-Mexico, Pacific, South America",Tree,1931,Status Assessment,N/A,Not a problem species (un-documented),Caution,Caution,"Jan 1, 2003Jan 1, 2012May 5, 2015",14,
Aleurites fordii,Euphorbiaceae,Vernicia fordii,Tung oil tree,"Asia Temperate, Asia Tropical",Tree,1928,Status Assessment,1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2006Jan 1, 2007Jun 30, 2017",18,
Aleurites moluccanus ,Euphorbiaceae,,"Candlenut tree, Indian walnut","Asia Temperate, Asia Tropical, Australasia",Tree,1932,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 17, 2015",3,
Allamanda cathartica,Apocynaceae,,"Brownbud allamanda, Golden trumpet, Yellow allamanda",South America,Vine,1930,Predictive Tool,16,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2005Jan 1, 2008",17,
Allamanda schottii ,Apocynaceae,Allamanda neriifolia,Bush allamanda,South America,Vine,2002,Status Assessment,10,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Mar 20, 2017",1,
Alocasia macrorrhizos,Araceae,"Alocasia alba, Alocasia indica, Alocasia crassifolia, Alocasia macrorrhiza",Giant taro,"Asia Tropical, Australasia",Forb/Herb,1991,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),7-Jul-17,6,
Aloe vera,Asphodelaceae,,"Aloe, Barbados aloe",Africa,Forb/Herb,1965,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 4, 2015",3,
Alpinia zerumbet,Zingiberaceae,,"Shell ginger, Shellflower","Asia Temperate, Asia Tropical",Forb/Herb,1967,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 17, 2015",6,
Alstonia macrophylla,Apocynaceae,,Deviltree,Asia Tropical,Tree,1933,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2006Dec 13, 2016",1,
Alstonia scholaris,Apocynaceae,,"Deviltree, Dita, Pali-mara, White cheesewood","Asia Temperate, Asia Tropical, Australasia, Pacific",Tree,1935,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),1-Jan-07,2,
Alstroemeria pulchella,Alstroemeriaceae,,Parrot lily,South America,Forb/Herb,1986,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jan 4, 2016",8,
Alternanthera brasiliana,Amaranthaceae,,Brazilian joyweed,"North America-Mexico, South America","Forb/Herb, Shrub, Vine",1994,Status Assessment,12,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 23, 2015",3,
Alternanthera caracasana,Amaranthaceae,,Washerwoman,"Central America, North America-Mexico, South America",Forb/Herb,0,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Mar 20, 2017",2,
Alternanthera ficoidea,Amaranthaceae,,"Sanguinaria, Slender joyweed",South America,Forb/Herb,1962,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 20, 2018",4,
Alternanthera paronychioides,Amaranthaceae,,Smooth joyweed,South America,Forb/Herb,1957,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 17, 2015",0,
Alternanthera philoxeroides,Amaranthaceae,,Alligatorweed,South America,"Aquatic, Forb/Herb",1928,,N/A,Prohibited,Prohibited,Prohibited,,52,
Alternanthera pungens,Amaranthaceae,,Khakiweed,South America,Forb/Herb,1897,Predictive Tool,18,High Invasion Risk,High Invasion Risk,High Invasion Risk,10-Jul-17,1,
Alternanthera sessilis,Amaranthaceae,,Sessile joyweed,"Asia Temperate, Asia Tropical",Forb/Herb,1975,,N/A,Prohibited,Prohibited,Prohibited,,29,
Alysicarpus ovalifolius,Fabaceae,,"Alyce clover, False moneywort","Africa, Asia Temperate, Asia Tropical",Forb/Herb,1954,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,44,
Alysicarpus vaginalis,Fabaceae,,White moneywort,"Africa, Asia Temperate, Asia Tropical",Forb/Herb,1931,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 17, 2015",8,
Amaranthus caudatus,Amaranthaceae,Amaranthus edulis,Love-lies-bleeding,"Africa, Asia Temperate, Asia Tropical",Forb/Herb,2005,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 25, 2018",1,
Angelonia angustifolia,Plantaginaceae,,Narrowleaf angelon,"North America-Mexico, South America",Forb/Herb,0,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jan 4, 2016",0,
Anredera vesicaria ,Basellaceae,,"Madeiravine, Texas madeiravine","North America-Mexico, South America","Forb/Herb, Vine",1965,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jan 4, 2016",12,
Antigonon leptopus,Polygonaceae,,"Coral vine, Queen's jewels, Queen's wreath","North America-Mexico, South America",Vine,1931,Predictive Tool,21,Caution,Caution,Caution,"Jan 1, 2004Jan 1, 2012Jan 6, 2015",28,
Aptenia cordifolia,Aizoaceae,,"Baby sun rose, Heartleaf iceplant",Africa,"Forb/Herb, Subshrub",2006,Predictive Tool,0,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,17-Jan-17,1,
Arachis glabrata,Fabaceae,,Perennial peanut,South America,Forb/Herb,1995,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 4, 2015",14,
Arachis hypogaea,Fabaceae,,Peanut,Unknown,Forb/Herb,1964,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jan 4, 2016",16,
Araucaria heterophylla,Araucariaceae,,Norfolk Island pine,Australasia,Tree,1992,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 4, 2015",3,
Ardisia crenata,Myrsinaceae,Ardisia crenulata,Coral ardisia,"Asia Temperate, Asia Tropical",Shrub,1953,,N/A,Prohibited,Prohibited,Prohibited,1-Jan-03,32,
Ardisia elliptica,Myrsinaceae,Ardisia humilis,Shoebutton ardisia,"Asia Temperate, Asia Tropical","Shrub, Tree",1936,,N/A,Prohibited,Prohibited,Prohibited,,12,
Ardisia japonica,Myrsinaceae,,Japanese ardisia,Asia Temperate,Shrub,1957,Status Assessment,N/A,Invasive,Caution,Not a problem species (un-documented),"Jan 1, 2011May 5, 2015",4,
Aristolochia labiata,Aristolochiaceae,,Mottled Dutchman's pipe,South America,"Forb/Herb, Vine",1969,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 20, 2018",1,
Aristolochia littoralis,Aristolochiaceae,Aristolochia elegans,Calico flower,South America,Vine,1982,Predictive Tool,15,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2006Jul 7, 2016",0,
Aristolochia maxima,Aristolochiaceae,,Dutchman's-pipe,"Central America, South America","Forb/Herb, Vine",1972,Status Assessment,-1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2007Jun 25, 2018",1,
Aristolochia ringens ,Aristolochiaceae,,Gaping Dutchman's pipe,"Central America, South America",Vine,1972,Status Assessment,2,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2006Jan 4, 2016",2,
Artocarpus altilis,Moraceae,"Artocarpus camansi, Artocarpus communis","breadfruit, dugbug","Asia Tropical, Pacific",Tree,,Predictive Tool,-1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,17-Apr-14,0,
Artocarpus heterophyllus,Moraceae,"Artocarpus integer, Artocarpus integrifolius",Jackfruit,Asia Tropical,Tree,1994,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 20, 2018",0,
Arundinaria fargesii,Poaceae,Bashania fargesii,Wind break bamboo,Asia Temperate,Graminoid,,Predictive Tool,2,Evaluate Further,Evaluate Further,Evaluate Further,1-Aug-14,0,
Arundo donax,Poaceae,,Giant reed,"Asia Temperate, Asia Tropical",Graminoid,1934,Predictive Tool,11,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2003Jan 1, 2009",35,
Asclepias curassavica,Apocynaceae,,"Bloodflower, Butterfly-Weed, Milkweed, Scarlet milkweed, Silkweed","Central America, North America-Mexico, South America","Forb/Herb, Subshrub",1930,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (documented),Caution,"Jan 1, 2007Jan 1, 2012May 5, 2015",29,
Asparagus aethiopicus,Asparagaceae,"Asparagus sprengeri, Asparagus densiflorus misapplied","Asparagus fern, Sprenger's asparagus fern",Africa,"Forb/Herb, Shrub, Subshrub",1916,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2006Jan 1, 2012May 4, 2015",25,
Asparagus officinalis,Asparagaceae,,Garden asparagus,"Africa, Asia Temperate, Europe",Forb/Herb,2003,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,5,
Asparagus setaceus,Asparagaceae,Asparagus plumosus,Common asparagus-fern,Africa,Forb/Herb,1936,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Aug 8, 2016",21,
Asphodelus fistulosus,Liliaceae,,onionweed,"Africa, Asia Temperate, Europe",Forb/Herb,,,N/A,Prohibited,Prohibited,Prohibited,6-May-14,0,
Aspidistra elatior,Ruscaceae,,"Barroom plant, Cast iron plant",Asia Temperate,Forb/Herb,1935,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 4, 2015",4,
Asystasia gangetica,Acanthaceae,,"Chinese violet, Ganges primrose","Africa, Asia Tropical","Forb/Herb, Subshrub, Vine",1935,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2004Jan 1, 2012May 5, 2015",9,
Atalantia buxifolia,Rutaceae,Severinia buxifolia,"Boxthorn, Chinese boxorange","Asia Temperate, Asia Tropical","Shrub, Tree",1956,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jan 1, 2011",11,
Attalea speciosa,Araceae,"Orbignya barbosiana, Orbignya huebneri, Orbignya martiana, Orbignya oleifera, Orbignya phalerata, Orbignya speciosa",Babassu palm,South America,Tree,,Predictive Tool,-2,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,20-Mar-14,0,
Aucuba japonica,‎Garryaceae,,"Aucuba, Japanese aucuba, Japanese laurel",Asia Temperate,Shrub,0,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 4, 2015",0,
Avena fatua var. sativa,Poaceae,Avena sativa,Common oats,Unknown,Graminoid,1957,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 1, 2016",24,
Avena sterilis,Poaceae,,"animated oat, wild oat","Africa, Asia Temperate, Asia Tropical, Europe",Graminoid,,,N/A,Prohibited,Prohibited,Prohibited,6-May-14,0,
Averrhoa carambola,Oxalidaceae,,"Carambola, Starfruit",Unknown,Tree,1934,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 4, 2015",0,
Azolla pinnata,Azollaceae,,Feathered mosquitofern,"Africa, Asia Temperate, Asia Tropical, Australasia, Pacific",Aquatic,,,N/A,Prohibited,Prohibited,Prohibited,7-Jul-17,4,
Bambusa balcooa,Poaceae,,"Balku bans, barak, beruh",Asia Temperate,Graminoid,,Predictive Tool,-1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,20-Mar-14,0,
Bambusa bambos,Poaceae,Bambusa arundinacea,"Giant thorny bamboo, Indian thorny bamboo","Asia Temperate, Asia Tropical",Graminoid,,Predictive Tool,10,High Invasion Risk,High Invasion Risk,High Invasion Risk,20-Mar-14,0,
Bambusa beecheyana,Poaceae,,"Beechey's bamboo, silk ball bamboo. silkesbambu",Asia Temperate,Graminoid,,Predictive Tool,-1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Aug-14,0,
Bambusa chungii,Poaceae,,White powder bamboo,Asia Temperate,Graminoid,,Predictive Tool,-2,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Aug-14,0,
Bambusa vulgaris,Poaceae,,Common bamboo,Asia Temperate,Graminoid,1964,Status Assessment,N/A,Not a problem species (documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 25, 2018",6,
Barleria cristata,Acanthaceae,,"Barleria, Bluebell barleria, Crested Philippine violet, Philippine violet","Asia Temperate, Asia Tropical","Forb/Herb, Subshrub",1963,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 1, 2016",9,
Barringtonia racemosa,Lecythidaceae,,"Barringtonia, Brack-Water Mangrove, Freshwater Mangrove, Fish-Poison Tree","Africa, Asia Temperate, Asia Tropical, Australasia, Pacific",Tree,1961,Predictive Tool,3,Evaluate Further,Evaluate Further,Evaluate Further,1-Jan-12,0,
Bauhinia aculeata,Fabaceae,,White orchid tree,South America,"Shrub, Tree",1952,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 3, 2016",1,
Bauhinia forficata,Fabaceae,,Cow's foot,South America,Tree,1961,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Dec-17,0,
Bauhinia purpurea,Fabaceae,,"Butterfly tree, Purple orchid tree",Asia Tropical,"Shrub, Tree",1931,Predictive Tool,10,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2005Jan 1, 2008",4,
Bauhinia variegata,Fabaceae,,"Mountain ebony, Orchid tree","Asia Temperate, Asia Tropical","Shrub, Tree",1914,Status Assessment,N/A,Not a problem species (un-documented),Caution,Invasive (No Uses),"Jan 1, 2006Jan 1, 2012May 5, 2015",6,
Bauhinia x blakeana,Fabaceae,,"Blake's bauhinia, Hong Kong orchid-tree",Unknown,"Shrub, Tree",1961,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 5, 2015",0,
Begonia cucullata,Begoniaceae,Begonia semperflorens,"Club begonia, Wax begonia",South America,Forb/Herb,1910,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2006Jan 1, 2012May 5, 2015",22,
Begonia hirtella,Begoniaceae,,Brazilian begonia,South America,Forb/Herb,1978,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2006Jun 3, 2016",1,
Berberis bealei,Berberidaceae,Mahonia bealei,"Beale's barberry, leatherleaf mahonia",Asia Temperate,Shrub,,,N/A,,,,,1,
Berberis julianae,Berberidaceae,,"Julian's berberis, Wintergreen barberry",Asia Temperate,Shrub,0,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005Dec 21, 2015",0,
Berberis thunbergii,Berberidaceae,,"Crimson pygmy, Japanese barberry",Asia Temperate,Shrub,0,Predictive Tool,19,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-May-13,0,
Berberis x mentorensis,Berberidaceae,,Mentor barberry,Unknown,Shrub,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 5, 2015",0,
Bidens pilosa,Asteraceae,,"Hairy beggarticks, Spanish needles","Central America, North America-Mexico, South America",Forb/Herb,1965,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 3, 2016",3,
Bignonia aequinoctialis,Bignoniaceae,Cydista aequinoctialis,"Garlic vine, Guard withe","Central America, North America-Mexico, South America",Vine,2003,Status Assessment,-3,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2006Jun 24, 2016",1,
Billbergia pyramidalis,Bromeliaceae,,Foolproof plant,South America,Forb/Herb,1970,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 5, 2015",2,
Bischofia javanica,Phyllanthaceae,,Javanese bishopwood,"Asia Temperate, Asia Tropical, Australasia, Pacific",Tree,1942,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2003Jan 1, 2011",11,
Blechnum brasiliense,Blechnaceae,,No common name reported,"Central America, South America",Forb/Herb,1922,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007May 5, 2015",0,
Bombax ceiba,Malvaceae,Bombax malabaricum,Red silk-cotton tree,"Asia Temperate, Asia Tropical, Australasia",Tree,1930,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 5, 2015",0,
Bonellia macrocarpa,Theophrastaceae,Jacquinia macrocarpa,Cudjoe wood,North America-Mexico,"Shrub, Tree",1994,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-06,1,
Bontia daphnoides,Scrophulariaceae,,White alling,South America,"Shrub, Tree",1973,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 3, 2016",1,
Borreria alata,Rubiaceae,Spermacoce alata,"broadleaf buttonweed, winged false buttonweed",South America,Forb/Herb,,,N/A,Prohibited,Prohibited,Prohibited,6-May-14,0,
Bougainvillea glabra,Nyctaginaceae,,"Bougainvillea, Paper flower",South America,"Shrub, Vine",1963,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 13, 2015",0,
Bougainvillea spectabilis,Nyctaginaceae,,"Great bougainvillea, Purple bougainvillea",South America,Shrub,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 3, 2016",0,
Bracteantha bracteata,Asteraceae,"Helichrysum bracteatum, Xeranthemum bracteatum",Bracted strawflower,Australasia,Forb/Herb,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 20, 2018",0,
Brassica carinata,Brassicaceae,"Brassica integrifolia var. carinata, Brassica integrifolia, Sinapsis integrifolia","Ethiopian cabbage, Ethiopian kale, Ethiopian rape, mustard collard",Africa,Forb/Herb,0,Predictive Tool,6,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,9-Mar-18,0,
Brassica juncea,Brassicaceae,,"India mustard, Leaf mustard",Unknown,Forb/Herb,1943,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),1-Jan-07,18,
Brassica napus,Brassicaceae,,Rapeseed,Europe,Forb/Herb,,Predictive Tool,22,High Invasion Risk,High Invasion Risk,High Invasion Risk,10-Jul-17,3,
Brassica rapa,Brassicaceae,,"Rape, Turnip",Unknown,Forb/Herb,1961,Predictive Tool,4,Evaluate Further,Evaluate Further,Evaluate Further,"Jan 1, 2006Feb 1, 2014",15,
Breynia disticha,Phyllanthaceae,,Snowbush,Pacific,Shrub,1992,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 13, 2015",3,
Bromelia balansae,Bromeliaceae,,Heart-of-flame,South America,Forb/Herb,0,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 3, 2016",0,
Bromelia pinguin,Bromeliaceae,,Pinguin,"Central America, North America-Mexico, South America",Forb/Herb,1971,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 13, 2016",4,
Bromus catharticus,Poaceae,,Rescuegrass,South America,Graminoid,1955,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-06,29,
Broussonetia papyrifera,Moraceae,,Paper mulberry,"Asia Temperate, Asia Tropical",Tree,1929,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2006Jan 1, 2011Aug 8, 2016",27,
Brugmansia candida,Solanaceae,"Brugmansia arborea, Datura arborea, Datura candida","Angel's trumpet, Thorn apple",South America,"Shrub, Tree",1978,Predictive Tool,5,Evaluate Further,Evaluate Further,Evaluate Further,"Jan 1, 2005Jan 1, 2012",0,
